graph,seed,INF,time
graph250,"[(), (3,)]",9.975,18.55
graph250,"[(17,), (3,)]",13.854,52.97
graph250,"[(17, 14), (3,)]",15.159,101.47999999999999
graph250,"[(17, 14), (3, 12)]",16.13,147.12
graph250,"[(17, 14, 19), (3, 12)]",16.802,188.81
graph250,"[(17, 14, 19), (3, 12, 4)]",17.391,226.68
graph250,"[(17, 14, 19, 0), (3, 12, 4)]",17.739,261.19
graph250,"[(17, 14, 19, 0), (3, 12, 4, 2)]",18.085,292.32
graph250,"[(17, 14, 19, 0), (3, 12, 4, 2, 9)]",18.32,320.19
graph250,"[(17, 14, 19, 0), (3, 12, 4, 2, 9, 13)]",18.58,344.76
graph250,"[(17, 14, 19, 0, 16), (3, 12, 4, 2, 9, 13)]",18.844,366.98
